,date,time,location,handle,brand,tweet,posting_user,sentiment,magnitude,entities,entity_salience,geolocation,place,coordinates
14,2017-03-07,15:32:17,"Fishers, IN",@INDairport,Indianapolis,RT @joetamborello: People really like @INDAirport! Indy's airport is rated the best in North America... for the fifth time in a row. https:…,Hannah Dabbelt,,,,,,,
15,2017-03-07,15:31:58,"Indianapolis, IN",@INDairport,Indianapolis,RT @joetamborello: People really like @INDAirport! Indy's airport is rated the best in North America... for the fifth time in a row. https:…,IndyStar,,,,,,,
16,2017-03-07,15:31:46,"Indianapolis, IN",@INDairport,Indianapolis,People really like @INDAirport! Indy's airport is rated the best in North America... for the fifth time in a row. https://t.co/w9GRwAGDFu,Joe Tamborello,,,,,,,
17,2017-03-07,15:24:38,"Kansas City, MO",@INDairport,Indianapolis,"Named best North American airport five years in a row. Bravo, @INDairport! 

🏆🏆🏆🏆🏆 https://t.co/lYuAPRwUJF",Justin Meyer,,,,,,,
18,2017-03-07,15:24:23,,@INDairport,Indianapolis,RT @INDairport: #DYK that IND is home to the largest airport-based solar farm complex in the world? More on #sustainability efforts: https:…,Sheldon Phelps,,,,,,,
19,2017-03-07,15:18:07,Worldwide,@INDairport,Indianapolis,RT @INDairport: #DYK that IND is home to the largest airport-based solar farm complex in the world? More on #sustainability efforts: https:…,Aviation Commons,,,,,,,
20,2017-03-07,15:17:24,,@INDairport,Indianapolis,RT @IIB: Indy Airport 'Best Airport in North America' Again: https://t.co/FuugFk8Y2J #IIBTV @INDairport @GerryDick https://t.co/pCxDYmRGNf,MD Logistics,,,,,,,
21,2017-03-07,15:17:19,"Dallas, TX",@INDairport,Indianapolis,RT @INDairport: #DYK that IND is home to the largest airport-based solar farm complex in the world? More on #sustainability efforts: https:…,Ron Thornton,,,,,,,
22,2017-03-07,15:12:10,"Fort Myers, Florida",@INDairport,Indianapolis,"""Heading south."" #FoursquareFind @indairport https://t.co/6ZdGJ2tUhF",Rick Roudy,,,,,,,
23,2017-03-07,15:04:04,,@INDairport,Indianapolis,"After flying out of @INDairport this past weekend I agree it is #thebest!
https://t.co/lcZDxyRSn3",Bianca Raquel,,,,,,,
24,2017-03-07,14:51:56,"ÜT: 39.89015,-86.120108",@INDairport,Indianapolis,RT @IndyNewsie: #Vegas latestn new nonstop flight from #Indy. Frontier Air to offer direct flights from @INDairport. https://t.co/9LFq0dNedY,Dave Smiley,,,,,,,
25,2017-03-07,14:51:49,,@INDairport,Indianapolis,RT @ChuckWTHR: 50mph plus winds at @INDairport and Lafayette. https://t.co/t2WOYwmWgu,Thy Nguyen,,,,,,,
26,2017-03-07,14:51:38,,@INDairport,Indianapolis,#Vegas latestn new nonstop flight from #Indy. Frontier Air to offer direct flights from @INDairport. https://t.co/9LFq0dNedY,Bruce Smith,,,,,,,
27,2017-03-07,14:38:45,"Indianapolis, IN",@INDairport,Indianapolis,"Congrats to the @INDairport on another win! 
Indy Airport 'Best Airport in North America' Again https://t.co/60YazgRiEH",Shelby Salazar Seay,,,,,,,
28,2017-03-07,14:20:46,pr@meadhunt.com,@INDairport,Indianapolis,Congrats #ASQawards winners @BBishopAirport @INDairport @FlyTPA @mspairport @DFWAirport for Best Airports in N. America by @airportscouncil,Mead & Hunt,,,,,,,
29,2017-03-07,13:59:04,"Indianapolis, IN",@INDairport,Indianapolis,RT @ACI_ASQ: Congratulations to @INDairport for winning 1st place - Best Airport by Region (&gt;2 mppa): North America! #ASQAwards https://t.c…,Maggie Bishop,,,,,,,
30,2017-03-07,13:38:27,"Indianapolis, IN",@INDairport,Indianapolis,RT @INDairport: Eagerly anticipating Spring? So is @imamuseum @Do317 previews everything at the Indy #artmuseum this Spring: https://t.co/E…,Spotlight Indy,,,,,,,
31,2017-03-07,12:23:17,"Fishers, IN",@INDairport,Indianapolis,And back at it....time to bring home da bacon.... (@ Indianapolis International Airport - @indairport) https://t.co/XQ9qAx2CWz,Michael Pratt,,,,,"{u'type': u'Point', u'coordinates': [39.71478896, -86.29771674]}","[[-86.348441, 39.631677], [-85.937404, 39.631677], [-85.937404, 39.927448], [-86.348441, 39.927448]]","{u'type': u'Point', u'coordinates': [-86.29771674, 39.71478896]}"
32,2017-03-07,11:57:05,"Westfield, IN",@INDairport,Indianapolis,Wow! @INDairport has been named 'Best Airport in North America'.... again! https://t.co/kARQ5vgg2t,Mark Heirbrandt,,,,,,,
33,2017-03-07,11:50:07,"Greenfield, IN USA",@INDairport,Indianapolis,"I'm at Indianapolis International Airport - @indairport in Indianapolis, IN https://t.co/Ax274ZP8zj",Jeffrey Sexton,,,,,"{u'type': u'Point', u'coordinates': [39.71478896, -86.29771674]}","[[-86.348441, 39.631677], [-85.937404, 39.631677], [-85.937404, 39.927448], [-86.348441, 39.927448]]","{u'type': u'Point', u'coordinates': [-86.29771674, 39.71478896]}"
34,2017-03-07,10:10:27,"Indianapolis, IN",@INDairport,Indianapolis,RT @ChuckWTHR: 50mph plus winds at @INDairport and Lafayette. https://t.co/t2WOYwmWgu,HN,,,,,,,
35,2017-03-07,09:33:31,Indiana,@INDairport,Indianapolis,RT @ChuckWTHR: 50mph plus winds at @INDairport and Lafayette. https://t.co/t2WOYwmWgu,netdog713,,,,,,,
36,2017-03-07,09:21:19,"Milwaukee, WI",@INDairport,Indianapolis,RT @ChuckWTHR: 50mph plus winds at @INDairport and Lafayette. https://t.co/t2WOYwmWgu,Josh B,,,,,,,
37,2017-03-07,09:16:57,"Indianapolis, Indiana",@INDairport,Indianapolis,RT @ChuckWTHR: 50mph plus winds at @INDairport and Lafayette. https://t.co/t2WOYwmWgu,WTHR.com,,,,,,,
38,2017-03-07,09:12:51,39° 44' N 86° 17' W,@INDairport,Indianapolis,RT @ChuckWTHR: 50mph plus winds at @INDairport and Lafayette. https://t.co/t2WOYwmWgu,Sean Ash,,,,,,,
39,2017-03-07,09:10:52,,@INDairport,Indianapolis,50mph plus winds at @INDairport and Lafayette. https://t.co/t2WOYwmWgu,Chuck Lofton,,,,,,,
40,2017-03-07,08:19:34,"Indianapolis, IN",@INDairport,Indianapolis,"New TSA pat-downs more 'invasive' for travelers. I visited @INDairport to learn what you can expect. @rtv6 
https://t.co/hSwRI46yDg",Marc Mullins,,,,,,,
41,2017-03-07,07:57:49,United States,@INDairport,Indianapolis,"RT @IAA_business: For the fifth year in a row, @INDairport was recognized in the @ACI_ASQ Awards as Best Airport in North America. https://…",G.M.G,,,,,,,
42,2017-03-07,05:34:42,"Carmel, IN",@INDairport,Indianapolis,RT @IIB: Indy Airport 'Best Airport in North America' Again: https://t.co/FuugFk8Y2J #IIBTV @INDairport @GerryDick https://t.co/pCxDYmRGNf,Juice Bar Carmel,,,,,,,
43,2017-03-07,05:22:39,,@INDairport,Indianapolis,#Indy Airport 'Best Airport in North America' Again for 5th year. @INDairport  https://t.co/cb9vgTpOrf,Bruce Smith,,,,,,,
44,2017-03-07,04:34:19,,@INDairport,Indianapolis,Best airport five years in a row! From a IND frequent flyer - way to go @INDairport https://t.co/bbjgGU6xyF,Ginny Carroll,,,,,,,
45,2017-03-07,04:02:23,,@INDairport,Indianapolis,RT @IIB: Indy Airport 'Best Airport in North America' Again: https://t.co/FuugFk8Y2J #IIBTV @INDairport @GerryDick https://t.co/pCxDYmRGNf,Johanna Gonzalez,,,,,,,
46,2017-03-07,03:11:57,"Indianapolis, IN",@INDairport,Indianapolis,RT @INDairport: Eagerly anticipating Spring? So is @imamuseum @Do317 previews everything at the Indy #artmuseum this Spring: https://t.co/E…,Danielle Look,,,,,,,
47,2017-03-07,02:53:29,Heartland,@INDairport,Indianapolis,I love our airport❣️Worth coming home to after every trip🛬. Congrats @INDairport! 🏆 https://t.co/uKxceQpzuq,🌬Andrea,,,,,,,
48,2017-03-07,02:45:45,opinionsRmine RTS❌ENDORSEMENTS,@INDairport,Indianapolis,@jjbirden @INDairport @SwarmApp safe travels! ✈,didi,,,,,,,
49,2017-03-07,02:30:55,Scottsdale Arizona,@INDairport,Indianapolis,"I'm at Indianapolis International Airport - @indairport in Indianapolis, IN https://t.co/N2T3b4TMac",JJ Birden,,,,,"{u'type': u'Point', u'coordinates': [39.71478896, -86.29771674]}","[[-86.348441, 39.631677], [-85.937404, 39.631677], [-85.937404, 39.927448], [-86.348441, 39.927448]]","{u'type': u'Point', u'coordinates': [-86.29771674, 39.71478896]}"
50,2017-03-07,02:20:30,"Saint Louis, Missouri",@INDairport,Indianapolis,"RT @IAA_business: For the fifth year in a row, @INDairport was recognized in the @ACI_ASQ Awards as Best Airport in North America. https://…",David Kipp,,,,,,,
51,2017-03-07,01:15:34,"Hamilton County, IN",@INDairport,Indianapolis,"RT @IndyChamber: The @INDairport was ranked ""Best Airport in North America"" AGAIN! #memberbuzz https://t.co/yEZtauge2L",Cindy Benedict,,,,,,,
52,2017-03-06,23:38:31,"Indianapolis, Indiana",@INDairport,Indianapolis,"RT @IndyChamber: The @INDairport was ranked ""Best Airport in North America"" AGAIN! #memberbuzz https://t.co/yEZtauge2L",Kateri Whitley,,,,,,,
53,2017-03-06,22:48:02,,@INDairport,Indianapolis,RT @CONEXUS_IN: Congrats to Conexus Indiana Logistics Council partner @INDairport! https://t.co/dEoaI5LJx2,David Post,,,,,,,
54,2017-03-06,22:37:01,"Indianapolis, IN",@INDairport,Indianapolis,RT @IIB: Indy Airport 'Best Airport in North America' Again: https://t.co/FuugFk8Y2J #IIBTV @INDairport @GerryDick https://t.co/pCxDYmRGNf,Robbie Singh,,,,,,,
55,2017-03-06,22:11:10,"Indianapolis, IN, USA",@INDairport,Indianapolis,"RT @IAA_business: For the fifth year in a row, @INDairport was recognized in the @ACI_ASQ Awards as Best Airport in North America. https://…",Mark Fisher,,,,,,,
56,2017-03-06,22:11:02,,@INDairport,Indianapolis,"RT @IndyChamber: The @INDairport was ranked ""Best Airport in North America"" AGAIN! #memberbuzz https://t.co/yEZtauge2L",drew klacik,,,,,,,
57,2017-03-06,22:09:11,"Indianapolis, IN",@INDairport,Indianapolis,RT @93wibc: Congrats to @INDairport on your #1 spot in the Airport Service Quality Awards for the 5th consecutive year! https://t.co/TEJNGd…,INDPLS Airport Auth.,,,,,,,
58,2017-03-06,22:09:02,"Indianapolis, Indiana",@INDairport,Indianapolis,"RT @IndyChamber: The @INDairport was ranked ""Best Airport in North America"" AGAIN! #memberbuzz https://t.co/yEZtauge2L",CENTURY 21 Scheetz,,,,,,,
59,2017-03-06,22:03:38,"Indianapolis, The Circle City ",@INDairport,Indianapolis,"RT @IAA_business: For the fifth year in a row, @INDairport was recognized in the @ACI_ASQ Awards as Best Airport in North America. https://…",Jared Evans,,,,,,,
60,2017-03-06,21:33:22,,@INDairport,Indianapolis,"RT @IndyChamber: The @INDairport was ranked ""Best Airport in North America"" AGAIN! #memberbuzz https://t.co/yEZtauge2L",robin nicoson,,,,,,,
61,2017-03-06,21:32:51,"Greenfield, Indiana",@INDairport,Indianapolis,RT @IIB: Indy Airport 'Best Airport in North America' Again: https://t.co/FuugFk8Y2J #IIBTV @INDairport @GerryDick https://t.co/pCxDYmRGNf,Matt Ottinger,,,,,,,
62,2017-03-06,21:20:22,,@INDairport,Indianapolis,RT @IIB: Indy Airport 'Best Airport in North America' Again: https://t.co/FuugFk8Y2J #IIBTV @INDairport @GerryDick https://t.co/pCxDYmRGNf,Indiana Chamber,,,,,,,
63,2017-03-06,21:11:33,Irvington,@INDairport,Indianapolis,"RT @IndyChamber: The @INDairport was ranked ""Best Airport in North America"" AGAIN! #memberbuzz https://t.co/yEZtauge2L",Jim Rawlinson,,,,,,,
64,2017-03-06,21:10:37,"Indianapolis, IN",@INDairport,Indianapolis,RT @93wibc: Congrats to @INDairport on your #1 spot in the Airport Service Quality Awards for the 5th consecutive year! https://t.co/TEJNGd…,Short Strategy Group,,,,,,,
65,2017-03-06,21:04:43,"Indiana, USA",@INDairport,Indianapolis,"RT @IndyChamber: The @INDairport was ranked ""Best Airport in North America"" AGAIN! #memberbuzz https://t.co/yEZtauge2L",Liz Weed,,,,,,,
66,2017-03-06,21:03:12,"Indiana, USA",@INDairport,Indianapolis,"RT @IndyChamber: The @INDairport was ranked ""Best Airport in North America"" AGAIN! #memberbuzz https://t.co/yEZtauge2L",Andy Hahn,,,,,,,
67,2017-03-06,20:48:33,Naptown. Jazz State of Indiana,@INDairport,Indianapolis,"RT @IndyChamber: The @INDairport was ranked ""Best Airport in North America"" AGAIN! #memberbuzz https://t.co/yEZtauge2L",LeslieLynnton Fuller,,,,,,,
68,2017-03-06,20:47:30,"Indianapolis, IN",@INDairport,Indianapolis,Congrats to Conexus Indiana Logistics Council partner @INDairport! https://t.co/dEoaI5LJx2,CONEXUS_IN,,,,,,,
69,2017-03-06,20:42:47,out of Indianapolis,@INDairport,Indianapolis,The more I travel the more I appreciate home @INDairport https://t.co/6Cgp5dKAPT,Audrey Taylor,,,,,,"[[-86.196002, 39.830482], [-86.189224, 39.830482], [-86.189224, 39.838203], [-86.196002, 39.838203]]",
70,2017-03-06,20:42:13,,@INDairport,Indianapolis,"RT @toddpzimmerman: Well done @INDairport , @IAA_business , and @INDairportPD for all your hard work and dedication.  #excellence
https://t…",Townsend,,,,,,,
71,2017-03-06,20:39:04,"Indianapolis, IN",@INDairport,Indianapolis,"The @INDairport was ranked ""Best Airport in North America"" AGAIN! #memberbuzz https://t.co/yEZtauge2L",Indy Chamber,,,,,,,
72,2017-03-06,20:31:41,Indianapolis,@INDairport,Indianapolis,RT @93wibc: Congrats to @INDairport on your #1 spot in the Airport Service Quality Awards for the 5th consecutive year! https://t.co/TEJNGd…,John Auditore,,,,,,,
73,2017-03-06,20:28:49,"Indianapolis, IN",@INDairport,Indianapolis,RT @93wibc: Congrats to @INDairport on your #1 spot in the Airport Service Quality Awards for the 5th consecutive year! https://t.co/TEJNGd…,Indianapolis Airport,,,,,,,
74,2017-03-06,20:27:49,"Indianapolis, IN",@INDairport,Indianapolis,"I'm at Indianapolis International Airport - @indairport in Indianapolis, IN https://t.co/LhmJkRx3io",Jonathan Lewis,,,,,,,
75,2017-03-06,20:08:33,"Indianapolis, IN",@INDairport,Indianapolis,RT @IIB: Indy Airport 'Best Airport in North America' Again: https://t.co/FuugFk8Y2J #IIBTV @INDairport @GerryDick https://t.co/pCxDYmRGNf,Trisha Clark,,,,,,,
76,2017-03-06,20:04:23,"Indianapolis, IN",@INDairport,Indianapolis,RT @IIB: Indy Airport 'Best Airport in North America' Again: https://t.co/FuugFk8Y2J #IIBTV @INDairport @GerryDick https://t.co/pCxDYmRGNf,CICP,,,,,,,
77,2017-03-06,19:54:30,"Indianapolis, Indiana",@INDairport,Indianapolis,RT @IIB: Indy Airport 'Best Airport in North America' Again: https://t.co/FuugFk8Y2J #IIBTV @INDairport @GerryDick https://t.co/pCxDYmRGNf,CSO Architects,,,,,,,
78,2017-03-06,19:53:04,,@INDairport,Indianapolis,@Chris_Slaby @MarcMullins1 @rtv6 @TSA @INDairport Will you be televising a new pat down or won't TSA allow that?,l. richard,,,,,,,
79,2017-03-06,19:51:38,"Indianapolis, IN",@INDairport,Indianapolis,Shout out to @INDairport travelers who continue to rank IND as the best airport in North America. #customerservice https://t.co/Ul1PPtlAEp,Megan (Gish) Carrico,,,,,,,
80,2017-03-06,19:44:26,Indianapolis,@INDairport,Indianapolis,Congrats to @INDairport on your #1 spot in the Airport Service Quality Awards for the 5th consecutive year!… https://t.co/eal87RSuuA,93 WIBC Indianapolis,,,,,,,
81,2017-03-06,19:41:26,Toronto,@INDairport,Indianapolis,RT @ACI_ASQ: Congratulations to @INDairport for winning 1st place - Best Airport by Region (&gt;2 mppa): North America! #ASQAwards https://t.c…,Transit Fok,,,,,,,
82,2017-03-06,19:39:36,"Hamilton County, Indiana",@INDairport,Indianapolis,Best Airport in North America @IAA_business @INDairport @ACI_ASQ Is it any wonder why corporate decision makers #InvestMetroIndy,Hamilton County EDC,,,,,,"[[-86.241245, 39.926048], [-86.023652, 39.926048], [-86.023652, 40.000451], [-86.241245, 40.000451]]",
83,2017-03-06,19:25:17,"Indianapolis, IN",@INDairport,Indianapolis,@MarcMullins1 @Chris_Slaby @rtv6 @TSA @INDairport aww man!! I thought I won the lotto with Marc making an appearance in our 5!,Melissa Mahadeo,,,,,,,
84,2017-03-06,19:19:08,"Montreal, Canada",@INDairport,Indianapolis,RT @ACI_ASQ: Congratulations to @INDairport for winning 1st place - Best Airport by Region (&gt;2 mppa): North America! #ASQAwards https://t.c…,ACI World,,,,,,,
85,2017-03-06,19:09:03,Indiana,@INDairport,Indianapolis,"Once again, three cheers to @INDairport for winning the ""Best Airport in North America"" via @IIB!… https://t.co/25tsLtrDdy",Jiffy Lube Indiana,,,,,,,
86,2017-03-06,19:02:36,"Indianapolis, IN",@INDairport,Indianapolis,@Chris_Slaby @rtv6 @TSA @INDairport @MelissaMahadeo oh like that is it?!,Marc Mullins,,,,,,,
87,2017-03-06,19:01:34,,@INDairport,Indianapolis,@MarcMullins1 @rtv6 @TSA @INDairport @MelissaMahadeo Change of plans: it will be at 6p!,Chris Slaby,,,,,,,
88,2017-03-06,18:48:40,,@INDairport,Indianapolis,RT @INDairport: Eagerly anticipating Spring? So is @imamuseum @Do317 previews everything at the Indy #artmuseum this Spring: https://t.co/E…,Cari Kluger,,,,,,,
89,2017-03-06,18:48:07,SJ - SF - Austin - INDY,@INDairport,Indianapolis,RT @INDairport: Eagerly anticipating Spring? So is @imamuseum @Do317 previews everything at the Indy #artmuseum this Spring: https://t.co/E…,Richard J Arredondo,,,,,,,
90,2017-03-06,18:43:49,Indianapolis,@INDairport,Indianapolis,RT @INDairport: Eagerly anticipating Spring? So is @imamuseum @Do317 previews everything at the Indy #artmuseum this Spring: https://t.co/E…,Do317,,,,,,,
91,2017-03-06,18:43:30,"Centennial, CO",@INDairport,Indianapolis,"(KUMP Indianapolis Metro, IN) @INDairport Why Fishers airport development is slow going: https://t.co/Uss8YEmhe0 via @indystar",Hangar Network,,,,,,,
92,2017-03-06,18:29:28,"Philadelphia, PA",@INDairport,Indianapolis,RT @IIB: Indy Airport 'Best Airport in North America' Again: https://t.co/FuugFk8Y2J #IIBTV @INDairport @GerryDick https://t.co/pCxDYmRGNf,Steven D.,,,,,,,
93,2017-03-06,18:28:53,"Kansas City, MO",@INDairport,Indianapolis,RT @IIB: Indy Airport 'Best Airport in North America' Again: https://t.co/FuugFk8Y2J #IIBTV @INDairport @GerryDick https://t.co/pCxDYmRGNf,Justin Meyer,,,,,,,
94,2017-03-06,18:26:50,Chicago/Indianapolis,@INDairport,Indianapolis,RT @IIB: Indy Airport 'Best Airport in North America' Again: https://t.co/FuugFk8Y2J #IIBTV @INDairport @GerryDick https://t.co/pCxDYmRGNf,Jocelyn Oppenhuis™,,,,,,,
95,2017-03-06,18:26:04,"Indianapolis, IN",@INDairport,Indianapolis,RT @IIB: Indy Airport 'Best Airport in North America' Again: https://t.co/FuugFk8Y2J #IIBTV @INDairport @GerryDick https://t.co/pCxDYmRGNf,Indianapolis Airport,,,,,,,
96,2017-03-06,18:14:25,,@INDairport,Indianapolis,"RT @IAA_business: For the fifth year in a row, @INDairport was recognized in the @ACI_ASQ Awards as Best Airport in North America. https://…",jwuslich,,,,,,,
97,2017-03-06,18:11:22,"Washington, D.C.",@INDairport,Indianapolis,"I'm at Indianapolis International Airport - @indairport in Indianapolis, IN https://t.co/dOu5L4Zw6y",Gene Wang,,,,,"{u'type': u'Point', u'coordinates': [39.71478896, -86.29771674]}","[[-86.348441, 39.631677], [-85.937404, 39.631677], [-85.937404, 39.927448], [-86.348441, 39.927448]]","{u'type': u'Point', u'coordinates': [-86.29771674, 39.71478896]}"
98,2017-03-06,18:01:56,,@INDairport,Indianapolis,RT @IIB: Indy Airport 'Best Airport in North America' Again: https://t.co/FuugFk8Y2J #IIBTV @INDairport @GerryDick https://t.co/pCxDYmRGNf,Kevin Kiefer,,,,,,,
99,2017-03-06,17:56:24,"Indianapolis, IN",@INDairport,Indianapolis,"RT @toddpzimmerman: Well done @INDairport , @IAA_business , and @INDairportPD for all your hard work and dedication.  #excellence
https://t…",INDPLS Airport Auth.,,,,,,,
100,2017-03-06,17:41:26,"Fort Wayne, IN",@INDairport,Indianapolis,"You’re welcome, @INDairport! It’s well deserved award 4 my favorite US airport (love the beautiful design, natural… https://t.co/2IQALOdHe7",Karen Asp,,,,,,,
101,2017-03-06,17:30:08,"Fishers, Indiana",@INDairport,Indianapolis,"Well done @INDairport , @IAA_business , and @INDairportPD for all your hard work and dedication.  #excellence
https://t.co/rH9jRJ3WZY",Todd Zimmerman,,,,,,,
102,2017-03-06,17:13:35,"Indianapolis, IN",@INDairport,Indianapolis,RT @IIB: Indy Airport 'Best Airport in North America' Again: https://t.co/FuugFk8Y2J #IIBTV @INDairport @GerryDick https://t.co/pCxDYmRGNf,John Torr,,,,,,,
103,2017-03-06,17:00:16,Racing Capital of the World,@INDairport,Indianapolis,RT @ACI_ASQ: Congratulations to @INDairport for winning 1st place - Best Airport by Region (&gt;2 mppa): North America! #ASQAwards https://t.c…,Ford,,,,,,,
104,2017-03-06,16:59:39,Central and Southern #Indiana,@INDairport,Indianapolis,RT @IIB: Indy Airport 'Best Airport in North America' Again: https://t.co/FuugFk8Y2J #IIBTV @INDairport @GerryDick https://t.co/pCxDYmRGNf,Indiana Real Estate,,,,,,,
105,2017-03-06,16:59:14,"Indianapolis, IN",@INDairport,Indianapolis,RT @IIB: Indy Airport 'Best Airport in North America' Again: https://t.co/FuugFk8Y2J #IIBTV @INDairport @GerryDick https://t.co/pCxDYmRGNf,Gerry Dick,,,,,,,
106,2017-03-06,16:51:58,"Indianapolis, IN",@INDairport,Indianapolis,@IIB @INDairport @GerryDick We know our #indy business members certainly appreciate it. #BoilerUp #WheelsUp,BBE Indianapolis,,,,,,,
107,2017-03-06,16:48:38,,@INDairport,Indianapolis,RT @IIB: Indy Airport 'Best Airport in North America' Again: https://t.co/FuugFk8Y2J #IIBTV @INDairport @GerryDick https://t.co/pCxDYmRGNf,Jeff Bateman,,,,,,,
108,2017-03-06,16:48:13,Indiana,@INDairport,Indianapolis,Indy Airport 'Best Airport in North America' Again: https://t.co/FuugFk8Y2J #IIBTV @INDairport @GerryDick https://t.co/pCxDYmRGNf,IIB,,,,,,,
109,2017-03-06,16:32:33,"Indianapolis, IN",@INDairport,Indianapolis,RT @ACI_ASQ: Congratulations to @INDairport for winning 1st place - Best Airport by Region (&gt;2 mppa): North America! #ASQAwards https://t.c…,Indianapolis Airport,,,,,,,
110,2017-03-06,16:30:46,,@INDairport,Indianapolis,Congratulations to @INDairport for winning 1st place - Best Airport by Region (&gt;2 mppa): North America! #ASQAwards https://t.co/NiYEGREgYu,ACI ASQ,,,,,,,
111,2017-03-06,16:22:42,"Boston, MA",@INDairport,Indianapolis,hoping to find the love of my life at @INDairport !,rosemary's baby,,,,,,,
112,2017-03-06,16:03:21,,@INDairport,Indianapolis,"RT @IAA_business: For the fifth year in a row, @INDairport was recognized in the @ACI_ASQ Awards as Best Airport in North America. https://…",Kevin Kiefer,,,,,,,
113,2017-03-06,15:57:32,IN,@INDairport,Indianapolis,Proud to work @INDairport https://t.co/Wz1hHyWyXi,Bill Harris,,,,,,,
114,2017-03-06,15:34:17,"Indianapolis, IN",@INDairport,Indianapolis,".@INDairport is a beautiful and well-run facility, with a staff that provides excellent customer experience every day. - @ExecDirIND",INDPLS Airport Auth.,,,,,,,
115,2017-03-06,15:28:24,"Indianapolis, IN",@INDairport,Indianapolis,@HRDAdvisory Thank you! We're honored @INDairport passengers continue to recognize us as the best.,INDPLS Airport Auth.,,,,,,,
116,2017-03-06,15:07:56,"Carmel, IN",@INDairport,Indianapolis,@IAA_business @ACIWorld @INDairport That's great news. Congratulations!,HRD Advisory Group,,,,,,,
117,2017-03-06,15:06:40,"Indianapolis, IN",@INDairport,Indianapolis,"For the fifth year in a row, @INDairport was recognized in the @ACI_ASQ Awards as Best Airport in North America. https://t.co/fW2MfGZTST",INDPLS Airport Auth.,,,,,,,
118,2017-03-06,15:04:33,Indiana,@INDairport,Indianapolis,RT @INDairport: Do your kids love #animals? @indywithkids shares a list of favorite animal encounter opportunities around town: https://t.c…,IndyWithKids,,,,,,,
119,2017-03-06,15:03:52,"Indianapolis, IN",@INDairport,Indianapolis,.@ACIWorld announced today @INDairport remains a champion among airports throughout North America in providing excellent customer service.,INDPLS Airport Auth.,,,,,,,
120,2017-03-06,14:43:50,"Fort Atkinson, WI",@INDairport,Indianapolis,"#Indianapolis #Airport Earns Top Industry Award, Fifth Year in a Row @ACIWorld @INDairport  https://t.co/5RDcRrkx2p",Airport Business,,,,,,,
121,2017-03-06,14:43:50,"Fort Atkinson, WI",@INDairport,Indianapolis,"#Indianapolis #Airport Earns Top Industry Award, Fifth Year in a Row @ACIWorld @INDairport  https://t.co/g3aEHbRxzL",AviationPros,,,,,,,
